ds,UMAP1,UMAP2,UMAP3,UMAP4,y,unique_id,is_weekend,is_holiday
01/29/2025,15.0127735,0.13016479,3.8620608,1.0238453,48747.6,movie,0,1
01/30/2025,14.958052,-0.035183482,3.709422,1.0908462,48034.18,movie,0,1
01/31/2025,14.860288,0.024938019,3.788821,1.1999255,61915.02,movie,0,1
02/01/2025,14.844558,0.07014235,3.8285835,1.2088455,73156.38,movie,1,1
02/02/2025,14.992774,0.19862404,3.896682,1.0197277,81277.31,movie,1,1
02/03/2025,15.239058,0.34231594,3.810649,0.79278755,84362.81,movie,0,1
02/04/2025,15.132724,0.4490198,4.010878,0.9086839,86670.81,movie,0,1
02/05/2025,15.1724205,0.5977842,3.8339646,0.83561367,64954.74,movie,0,1
02/06/2025,14.994752,0.799167,3.8232243,0.9574872,58597.96,movie,0,1
02/07/2025,15.063779,0.9351186,3.9880867,0.9996526,54170.05,movie,0,1
02/08/2025,15.019464,0.84762317,3.986336,0.9141816,62008.55,movie,1,1
02/09/2025,15.115235,0.5418696,3.937029,0.8666593,76153.14,movie,1,1
02/10/2025,15.162568,1.3176033,3.7466638,1.2722669,48167,movie,0,1
02/11/2025,15.053126,1.1889226,3.7033234,1.1442204,48214.54,movie,0,1
02/12/2025,15.105161,1.1893162,3.7914093,1.120676,53341.05,movie,0,1
02/13/2025,15.267785,1.5005454,3.6853433,1.3923395,36035.46,movie,0,1
02/14/2025,15.148915,0.9717925,3.7041292,1.1983883,58111.08,movie,0,1
02/15/2025,15.250025,0.44876805,3.9367292,0.8142853,78788.1,movie,1,1
02/16/2025,15.221953,1.0587858,3.7702928,0.9037154,61417.3,movie,1,1
02/17/2025,16.106926,2.6250918,3.454304,2.1815631,19393.37,movie,0,1
02/18/2025,16.00203,2.7185376,3.3844438,2.349163,16648.61,movie,0,1
02/19/2025,16.143251,2.9597385,3.2164702,2.6113052,14577.26,movie,0,1
02/20/2025,16.171062,2.870357,3.1330106,2.6264036,12831.51,movie,0,1
02/21/2025,16.025414,2.660362,3.3649135,2.5799544,22884.13,movie,0,1
02/22/2025,15.008042,1.1867166,3.6286013,1.2881863,52102.27,movie,1,1
02/23/2025,15.221113,1.5424803,3.7723136,1.3564823,35181.46,movie,1,0
02/24/2025,16.101852,2.9980555,3.176784,2.3097472,7450.84,movie,0,0
02/25/2025,16.197708,3.1050625,3.1052134,2.412268,6132.19,movie,0,0
02/26/2025,16.247578,3.1416113,3.016676,2.5363955,5329.79,movie,0,0
02/27/2025,16.299805,3.203376,2.8670428,2.7726724,4888.29,movie,0,0
02/28/2025,16.400412,2.9457438,3.109256,2.7487347,9661.08,movie,0,0
03/01/2025,16.191324,2.6806567,3.3974617,2.6732495,23439.88,movie,1,0
03/02/2025,16.282312,2.8457992,3.3119154,2.7448392,14092.36,movie,1,0
03/03/2025,16.211527,3.0494552,2.7400973,2.957477,2813.3,movie,0,0
03/04/2025,16.222437,3.0951772,2.627838,2.9688325,2466.33,movie,0,0
03/05/2025,16.335651,3.2264087,2.728225,2.8850472,2291.24,movie,0,0
03/06/2025,16.452522,3.1015992,2.7280457,2.7538853,2279.5,movie,0,0
03/07/2025,16.385178,3.291986,2.6229143,2.7573512,5619.51,movie,0,0
03/08/2025,16.541332,3.2223036,2.359312,2.75988,14187.31,movie,1,0
03/09/2025,16.466455,3.1336796,2.4068503,2.8696651,7601.75,movie,1,0
03/10/2025,16.43988,3.1399522,2.1047938,2.9858227,1558.81,movie,0,0
03/11/2025,16.62756,3.0783827,2.1044226,2.6724787,1419.78,movie,0,0
03/12/2025,16.577044,3.0063672,2.1985872,2.8100598,1320.19,movie,0,0
03/13/2025,16.464615,3.199427,2.0604002,2.9485645,1192.5,movie,0,0
03/14/2025,16.602495,3.2217956,2.0720875,2.8077385,2386.06,movie,0,0
03/15/2025,14.165046,4.2590594,1.5743161,-1.4534998,7314.03,movie,1,0
03/16/2025,14.244315,4.2833962,1.3918837,-1.5883659,5138.59,movie,1,0
03/17/2025,14.224466,4.330767,1.2657106,-1.6795864,1016.89,movie,0,0
03/18/2025,14.253637,4.3901525,1.1555524,-1.7315657,918.36,movie,0,0
03/19/2025,14.305051,4.4322004,0.8870985,-1.8030138,848.48,movie,0,0
03/20/2025,14.284695,4.526032,0.630887,-1.899944,791.5,movie,0,0
03/21/2025,14.0557165,4.739532,0.7290807,-1.9275887,1505.2,movie,0,0
03/22/2025,14.311483,4.4803596,0.643656,-1.8897734,4201.38,movie,1,0
03/23/2025,14.165286,4.6838427,0.60922545,-1.9919084,2871.64,movie,1,0
03/24/2025,14.074932,4.6517887,0.6843091,-2.0220947,612.21,movie,0,0
03/25/2025,14.1740675,4.731858,0.55876786,-1.9257178,578.84,movie,0,0
03/26/2025,13.885995,4.7313776,0.85606444,-2.024704,541.64,movie,0,0
03/27/2025,13.92715,4.648533,0.9414261,-1.96541,531.06,movie,0,0
03/28/2025,13.803848,4.42349,1.4138861,-1.7144531,948,movie,0,0
03/29/2025,14.155754,4.4464803,1.3928349,-1.6738808,2994.53,movie,1,0
03/30/2025,14.046596,4.343065,1.5040684,-1.5605394,2273.18,movie,1,0
03/31/2025,13.909626,4.4835687,1.3973789,-1.6699077,665.18,movie,0,0
04/01/2025,13.724789,4.582567,1.2371923,-1.8484786,490.54,movie,0,0
04/02/2025,13.805822,4.5839252,1.1511666,-2.0020504,418.61,movie,0,0
04/03/2025,13.709483,4.69776,1.0260134,-2.0854993,882.58,movie,0,0
04/04/2025,2.943892,6.767984,3.961191,4.3735414,2834.2,movie,0,1
04/05/2025,3.3565872,7.06591,3.6592588,4.7798395,2915.34,movie,1,1
04/06/2025,3.3590188,7.049854,3.6166146,4.750906,1429.12,movie,1,1
04/07/2025,3.205927,6.704648,3.5292022,4.46314,256.02,movie,0,0
04/08/2025,2.9571676,6.5381846,3.4929156,4.30252,234.79,movie,0,0
04/09/2025,3.013309,6.70187,3.6594381,4.4859824,218.85,movie,0,0
04/10/2025,3.0574737,6.7379665,3.4674187,4.43973,209.97,movie,0,0
04/11/2025,3.0998185,6.6985927,3.5402398,4.6000066,323.07,movie,0,0
04/12/2025,3.021268,5.82558,3.6970298,3.8140616,1102.82,movie,1,0
04/13/2025,2.958877,5.836281,3.7409174,3.695388,927.83,movie,1,0
04/14/2025,2.9557037,5.8990984,3.7300835,3.6564837,196.53,movie,0,0
04/15/2025,3.1050794,6.0710306,3.6010325,3.5305493,329.26,movie,0,0
04/16/2025,2.9760163,6.10178,3.5960605,3.5449772,314.73,movie,0,0
04/17/2025,3.148356,6.319404,3.5582578,3.9038417,381.33,movie,0,0
04/18/2025,3.3445315,6.9095483,3.4283295,4.7939115,605.06,movie,0,0
04/19/2025,0.37755692,7.593991,4.464987,6.4723616,1229.71,movie,1,0
04/20/2025,3.3316035,7.0960665,3.3807023,5.0087886,1069.68,movie,1,0
04/21/2025,0.12899746,7.602082,4.588696,6.6903615,886.19,movie,0,0
04/22/2025,3.3494246,7.1898646,3.4285665,5.0999885,803.81,movie,0,0
04/23/2025,3.4011748,6.484956,3.4422078,4.167245,717.47,movie,0,0
04/24/2025,3.271513,6.1447887,3.5496745,3.8069189,593.14,movie,0,0
04/25/2025,3.3134258,6.266889,3.5639896,3.9305952,696.97,movie,0,0
04/26/2025,3.4768589,7.128171,3.5288706,4.934161,1037.7,movie,1,0
04/27/2025,3.30787,7.160415,3.4945073,5.077962,455.49,movie,1,0
04/28/2025,3.3709576,6.224996,3.4461591,3.84495,525.62,movie,0,0
04/29/2025,3.2137585,6.1169424,3.5580282,3.6364634,540.36,movie,0,0
04/30/2025,2.5184488,6.689048,3.876559,4.3408184,502.47,movie,0,0
05/01/2025,2.727007,6.5363665,4.1645017,4.1748934,1046.38,movie,0,1
05/02/2025,2.8189795,6.3825727,4.0880537,4.00652,1795.99,movie,0,1
05/03/2025,2.807918,6.1775084,3.9105775,3.8051736,1571.83,movie,1,1
05/04/2025,2.7578495,6.6182137,3.8496375,4.292866,1303.88,movie,1,1
05/05/2025,0.16216747,7.7249107,4.5560317,6.1884103,749.98,movie,0,1
05/06/2025,2.485167,6.781756,3.823954,4.456409,181.8,movie,0,0
05/07/2025,0.75515395,7.622855,4.392996,5.24711,241.34,movie,0,0
05/08/2025,0.111425586,7.7922735,4.5994678,6.065175,156.63,movie,0,0
05/09/2025,-1.2288766,7.7592306,5.2578382,7.40096,183.31,movie,0,0
05/10/2025,-1.10336,7.756217,5.140435,7.368868,468.79,movie,1,0
05/11/2025,0.49510124,7.7107544,4.440723,5.598515,389.08,movie,1,0
05/12/2025,2.124923,6.843975,4.030103,4.438972,164.35,movie,0,0
05/13/2025,2.3297231,6.6747656,3.9798155,4.2579174,110.64,movie,0,0
05/14/2025,0.97663677,7.5180626,4.365857,5.007403,84.52,movie,0,0
05/15/2025,-0.13047591,7.830536,4.7834225,6.2169113,122.09,movie,0,0
05/16/2025,-1.2135596,7.93176,5.555956,7.0651526,174.81,movie,0,0
05/17/2025,-1.031792,7.828295,5.3250504,7.09519,545.78,movie,1,0
05/18/2025,-0.0728082,7.763215,4.838926,6.242148,346.35,movie,1,0
05/19/2025,-0.11969067,8.075361,4.924098,5.3526096,51.37,movie,0,0
05/20/2025,-0.46202844,8.236355,5.239456,5.21502,103.59,movie,0,0
05/21/2025,-0.6171326,8.292127,5.393499,5.418641,73.97,movie,0,0
05/22/2025,-0.45553043,7.9538617,5.0082827,6.2403536,68.38,movie,0,0
05/23/2025,-0.86237824,7.812355,5.150144,6.997723,76.89,movie,0,0
05/24/2025,-1.2509799,7.830779,5.3136044,7.4093995,308.22,movie,1,0
05/25/2025,0.12935084,7.836063,4.5628543,6.0089626,256.89,movie,1,0
05/26/2025,0.33979693,7.8009005,4.5272927,5.6209335,42.34,movie,0,0
05/27/2025,0.3926023,7.819024,4.556547,5.3949947,45.56,movie,0,0
05/28/2025,0.6404451,7.7135735,4.4911366,5.153686,46.9,movie,0,0
05/29/2025,-0.3487141,8.047225,4.956905,5.9709835,50.53,movie,0,0
05/30/2025,-0.05431612,7.9904685,4.7849355,5.6012077,107.42,movie,0,0
05/31/2025,-1.5651026,7.964471,5.607052,7.462365,393.15,movie,1,1
06/01/2025,-1.9600534,7.6067657,5.727977,8.154575,727.14,movie,1,1
06/02/2025,-1.5645174,7.75995,5.4488745,7.7251844,333.3,movie,0,1
06/03/2025,-0.32587206,8.023453,4.8821297,6.2089777,30.47,movie,0,0
06/04/2025,0.07086028,7.9871964,4.748795,5.390862,28.13,movie,0,0
06/05/2025,0.42072862,7.8501053,4.652107,5.0584326,31.34,movie,0,0
06/06/2025,0.15813667,7.9930143,4.818257,5.0804296,44.02,movie,0,0
06/07/2025,-0.64352125,8.200326,5.527757,5.490968,162.99,movie,1,0
06/08/2025,-1.585474,8.150166,5.8899975,7.2099137,161.57,movie,1,0
06/09/2025,-1.812812,7.876979,5.892041,7.339002,34.9,movie,0,0
06/10/2025,-1.3629743,7.958384,5.7038407,7.0644174,36.95,movie,0,0
06/11/2025,-0.69602054,8.359259,5.3124924,5.515226,36.61,movie,0,0
06/12/2025,-0.78650403,8.307004,5.4625998,5.321784,35.36,movie,0,0
06/13/2025,-0.85175824,8.243263,5.551464,5.5161076,39.56,movie,0,0
06/14/2025,-2.2010303,7.791088,5.932174,8.015298,108.44,movie,1,0
06/15/2025,-1.6947201,8.048161,5.7452555,7.451316,122.44,movie,1,0
06/16/2025,-0.49816453,8.207308,5.257253,5.3264203,30.44,movie,0,0
06/17/2025,-0.53298646,8.313259,5.327885,5.2549596,37.55,movie,0,0
06/18/2025,-1.0135101,8.258785,5.6507554,5.7729163,24.79,movie,0,0
06/19/2025,-2.2908046,7.630404,6.0702515,8.165391,25.63,movie,0,0
06/20/2025,-2.1692429,7.9517336,5.979951,7.732628,32.67,movie,0,0
06/21/2025,-1.8852326,7.995287,5.8963103,7.527925,85.54,movie,1,0
06/22/2025,-1.955019,8.189979,5.724403,7.5704784,92.26,movie,1,0
06/23/2025,-1.8687006,8.0673895,5.9907146,7.3335285,24.4,movie,0,0
06/24/2025,-1.7005746,8.053202,5.9931855,7.1318655,25.64,movie,0,0
06/25/2025,-2.0318482,8.021338,6.090894,7.371287,27.98,movie,0,0
06/26/2025,-2.2461486,7.9214063,5.986556,7.871865,30.82,movie,0,0
06/27/2025,-2.3606777,7.682567,5.9891443,8.18785,22.37,movie,0,0
06/28/2025,-2.240284,7.6737027,5.966118,8.1042795,54.44,movie,1,0
06/29/2025,-2.184724,7.6420655,5.9427733,8.198499,81.27,movie,1,0
06/30/2025,-2.373204,7.783918,5.922289,8.189878,66.32,movie,0,0
